category,object,result,details,selection,interesting_values,moving_related_properties
api_reflection,component.physics(),methods,"[""create"", ""dateCreated"", ""hasTag"", ""tag"", ""tags"", ""timeCreated"", ""uniquetag""]",,,
existing_physics,spf,present,"[""create"", ""dateCreated"", ""feature"", ""featureInfo"", ""label"", ""prop"", ""selection"", ""tag"", ""timeCreated""]",,,
api_reflection,spf.feature(),methods,"[""create"", ""dateCreated"", ""hasTag"", ""tag"", ""tags"", ""timeCreated"", ""uniquetag""]",,,
existing_feature,spf/fp1,present,"[""MixingLengthLimit"", ""l_mix_lim"", ""LengthScaleSpecification"", ""lref"", ""rho_mat"", ""rho"", ""minput_temperature_src"", ""minput_temperature"", ""editModelInputs"", ""Constitutiverelation"", ""mu_mat"", ""mu"", ""nonNewtonianModels"", ""sr_ref"", ""sr_lowlimit"", ""m_p"", ""mu_init_app"", ""kf"", ""kb"", ""m_y0"", ""m_yt"", ""tau_y0"", ""tau_yt"", ""nb"", ""nf"", ""m_pow_mat"", ""m_pow"", ""n_pow_mat"", ""n_pow"", ""mu0_mat"", ""mu0"", ""mu_inf_mat"", ""mu_inf"", ""lam_car_mat"", ""lam_car"", ""n_car_mat"", ""n_car"", ""mu0cy_mat"", ""mu0cy"", ""mu_infcy_mat"", ""mu_infcy"", ""lam_cy_mat"", ""lam_cy"", ""n_cy_mat"", ""n_cy"", ""a_car_mat"", ""a_car"", ""mu0cw_mat"", ""mu0cw"", ""lam_cw_mat"", ""lam_cw"", ""n_cw_mat"", ""n_cw"", ""mu_p_mat"", ""mu_p"", ""tau_y_mat"", ""tau_y"", ""mu_infs_mat"", ""mu_infs"", ""m_pows_mat"", ""m_pows"", ""n_pows_mat"", ""n_pows"", ""tau_half_mat"", ""tau_half"", ""a_e_mat"", ""a_e"", ""mu0e_mat"", ""mu0e"", ""m_powhb_mat"", ""m_powhb"", ""n_powhb_mat"", ""n_powhb"", ""tau_yhb_mat"", ""tau_yhb"", ""mu_pc_mat"", ""mu_pc"", ""tau_yc_mat"", ""tau_yc"", ""tau_tr_mat"", ""tau_tr"", ""mu0c_mat"", ""mu0c"", ""mu_infc_mat"", ""mu_infc"", ""n_c_mat"", ""n_c"", ""mu_DK_mat"", ""mu_DK"", ""lam_DK_mat"", ""lam_DK"", ""tau_yDK_mat"", ""tau_yDK"", ""m_powrs_mat"", ""m_powrs"", ""n_powrs_mat"", ""n_powrs"", ""tau_yrs_mat"", ""tau_yrs"", ""thermalFunction"", ""Twlf"", ""C1wlf"", ""C2wlf"", ""T0"", ""Q"", ""be"", ""alphaT"", ""shift_temperature_src"", ""shift_temperature"", ""streamlinens"", ""crosswindns"", ""minput_pressure_src"", ""minput_pressure"", ""minput_electricfield_src"", ""minput_electricfield"", ""minput_magneticfield_src"", ""minput_magneticfield"", ""minput_magneticfluxdensity_src"", ""minput_magneticfluxdensity"", ""minput_velocity_src"", ""minput_velocity"", ""minput_frequency_src"", ""minput_frequency"", ""minput_stress_src"", ""minput_stress"", ""minput_effectiveplasticstrain_src"", ""minput_effectiveplasticstrain"", ""minput_strainreferencetemperature_src"", ""minput_strainreferencetemperature"", ""minput_concentration_src"", ""minput_concentration"", ""minput_numberdensity_src"", ""minput_numberdensity"", ""minput_relativehumidity_src"", ""minput_relativehumidity"", ""minput_currentdensity_src"", ""minput_currentdensity"", ""minput_shiftedmagneticfield_src"", ""minput_shiftedmagneticfield"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,spf/init1,present,"[""u_init"", ""p_init"", ""nutilde_init"", ""G_init"", ""k_init"", ""ep_init"", ""om_init"", ""yPlus_init"", ""uPlus_init"", ""zeta_init"", ""alpha_init"", ""gamma_init"", ""R_init"", ""CompensateForHydrostaticPressureApproximation"", ""CompensateForHydrostaticPressure"", ""coordinateSystem"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,spf/axi1,present,"[""constraintOptions"", ""constraintType"", ""constraintMethod"", ""StudyStep"", ""showPhysicsSymbols""]",[1],{},
existing_feature,spf/wallbc1,present,"[""BoundaryCondition"", ""uleak"", ""UseViscousSlip"", ""UseThermalCreep"", ""SlipLengthOption"", ""Ls"", ""alphav"", ""lambda"", ""sigmat"", ""ElectroosmoticOption"", ""mueo"", ""zeta"", ""epsilonr"", ""T_src"", ""T"", ""E_src"", ""E"", ""utr"", ""uvw"", ""vw"", ""SlidingWall"", ""TranslationalVelocityOption"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""ApplyWallRoughness"", ""RoughnessModel"", ""kseq"", ""ks"", ""Cs"", ""NavierSlip"", ""beta"", ""beta_factor"", ""tau_ref"", ""m"", ""IncludeUtrInNavierSlipForce"", ""tau_y"", ""k1"", ""k2"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[2, 3, 5, 6, 8]","{""BoundaryCondition"": ""NoSlip"", ""utr"": ""0"", ""SlidingWall"": ""0"", ""TranslationalVelocityOption"": ""AutomaticFromFrame""}",
existing_feature,spf/grav1,present,"[""g"", ""projectGravity"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,spf/rtfr1,present,"[""AxisOfRotation"", ""RotationalDirection"", ""RotationalFrequency"", ""Ovm"", ""rpt"", ""alpha"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,spf/dcont1,present,"[""continuityConditions"", ""pressureLossModel"", ""K_expansion_loss"", ""K_contraction_loss"", ""venaContractaModel"", ""c_vc"", ""c_vc_ll"", ""n_vc"", ""kJumpnPLossInclude"", ""K_k_conversion"", ""epJumpPLossInclude"", ""K_ep_conversion"", ""omJumpPLossInclude"", ""K_om_conversion"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""pairSelection"", ""pairs"", ""pairsList"", ""pairDisconnect"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,spf/inl_ring_vertical_equiv,present,"[""BoundaryCondition"", ""ComponentWise"", ""U0in"", ""u0"", ""p0"", ""LaminarInflowOption"", ""Uav"", ""V0"", ""p0_entr"", ""CompensateForHydrostaticPressureApproximationIO"", ""CompensateForHydrostaticPressureIO"", ""Lentr"", ""ConstrainEndPointsToZero"", ""f0"", ""MassFlowType"", ""mfr"", ""StandardFlowRateDefinedBy"", ""stdmfr"", ""mnst"", ""Pst"", ""Tst"", ""sccmmfr"", ""Mf_src"", ""Mf"", ""Mn_src"", ""Mn"", ""RANSVarOption"", ""RANSAnisotropyOption"", ""IT"", ""LT"", ""Uref"", ""k0"", ""ep0"", ""om0"", ""nutilde0"", ""zeta0"", ""zeta0_aniso"", ""alpha0"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[4, 7]","{""BoundaryCondition"": ""Velocity"", ""u0"": ""0""}",
existing_physics,ls,present,"[""create"", ""dateCreated"", ""feature"", ""featureInfo"", ""label"", ""prop"", ""selection"", ""tag"", ""timeCreated""]",,,
api_reflection,ls.feature(),methods,"[""create"", ""dateCreated"", ""hasTag"", ""tag"", ""tags"", ""timeCreated"", ""uniquetag""]",,,
existing_feature,ls/lsm1,present,"[""gamma"", ""epsilon_ls"", ""u_src"", ""u"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/init1,present,"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/initfluid2,present,"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/axi1,present,"[""StudyStep""]",[1],{},
existing_feature,ls/nf1,present,"[""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[2, 3, 4, 5, 6, 7, 8]",{},
existing_feature,ls/dcont1,present,"[""pairSelection"", ""pairs"", ""pairsList"", ""pairDisconnect"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
catalog_enumeration,COMSOL API feature/interface catalog,API cannot enumerate available physics interface or feature type catalog from this MCP/mph path,"Existing object tags/properties can be enumerated, but the create-type catalog is not exposed. Next step requires manual GUI model export to Java/M-file for exact names.",,,
moving_wall_semantics,spf/Wall,creatable,"[""BoundaryCondition"", ""uleak"", ""UseViscousSlip"", ""UseThermalCreep"", ""SlipLengthOption"", ""Ls"", ""alphav"", ""lambda"", ""sigmat"", ""ElectroosmoticOption"", ""mueo"", ""zeta"", ""epsilonr"", ""T_src"", ""T"", ""E_src"", ""E"", ""utr"", ""uvw"", ""vw"", ""SlidingWall"", ""TranslationalVelocityOption"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""ApplyWallRoughness"", ""RoughnessModel"", ""kseq"", ""ks"", ""Cs"", ""NavierSlip"", ""beta"", ""beta_factor"", ""tau_ref"", ""m"", ""IncludeUtrInNavierSlipForce"", ""tau_y"", ""k1"", ""k2"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[4, 7]",,"[""utr"", ""SlidingWall"", ""TranslationalVelocityOption""]"
