table_path,file_type,row_count,column_or_field_summary,key_numeric_columns,key_status_values,obvious_anomalies,linked_images,notes
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_builder_run_metadata_20260620_112539.json,json,6,run_id; started_log; active_task; active_task_sha256; output_dir; gates; gates.R3_STATUS; gates.ALLOW_NEXT_DISPLACEMENT_LADDER; gates.ALLOW_NEXT_TRUE_GEOMETRY_JET1; gates.ALLOW_STAGE6; gates.ALLOW_REAL_HMAX_OUTPUT,JSON numeric scan not expanded; see field summary,FAIL(1); NO(4),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\logs\R3_builder_run_metadata_20260620_113028.json,json,6,run_id; started_log; active_task; active_task_sha256; output_dir; gates; gates.R3_STATUS; gates.ALLOW_NEXT_DISPLACEMENT_LADDER; gates.ALLOW_NEXT_TRUE_GEOMETRY_JET1; gates.ALLOW_STAGE6; gates.ALLOW_REAL_HMAX_OUTPUT,JSON numeric scan not expanded; see field summary,FAIL(1); NO(4),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_A_evidence_consolidation_summary.json,json,9,latest_trusted_model_branch; exact_R2_failure_point; R2_pass_fail_phase_table; R2_pass_fail_phase_table.Phase0; R2_pass_fail_phase_table.Phase1; R2_pass_fail_phase_table.Phase2; R2_pass_fail_phase_table.Phase3; R2_pass_fail_phase_table.Phase4; R2_pass_fail_phase_table.Phase5; best_available_model_path; suspected_cause_categories; suspected_cause_categories[]; phase2_rows; phase2_rows[]; phase2_rows[].case_id; phase2_rows[].model_type; phase2_rows[].ALE_present; phase2_rows[].ring_present; phase2_rows[].transient_solved; phase2_rows[].solve_status; phase2_rows[].failure_message; phase2_rows[].H0; phase2_rows[].Hfinal; phase2_rows[].H_final_minus_H0; phase2_rows[].interface_roughness_initial; phase2_rows[].interface_roughness_final; phase2_rows[].pseudo_spike_old_flag; phase2_rows[].pseudo_spike_ROI_flag; phase2_rows[].mesh_quality_min; phase2_rows[].interface_quality; phase2_rows[].case_pass; phase2_rows[].root_cause_hint; phase3_rows; phase3_rows[]; phase3_rows[].case_id; phase3_rows[].base_case; phase3_rows[].changed_parameter; phase3_rows[].old_value; phase3_rows[].new_value; phase3_rows[].solve_status; phase3_rows[].failure_message; phase3_rows[].H0; phase3_rows[].Hfinal; phase3_rows[].H_final_minus_H0; phase3_rows[].interface_roughness_initial; phase3_rows[].interface_roughness_final; phase3_rows[].pseudo_spike_old_flag; phase3_rows[].pseudo_spike_ROI_flag; phase3_rows[].interface_quality; phase3_rows[].reldetjacmin_min; phase3_rows[].reldetjacmin_mean; phase3_rows[].reldetjac_min; phase3_rows[].reldetjac_mean; phase3_rows[].qual_min; phase3_rows[].qual_mean; phase3_rows[].dvol_min; phase3_rows[].dvol_mean; phase3_rows[].mesh_quality_min; phase3_rows[].max_mesh_vertical_displacement; phase3_rows[].inverted_element_flag,JSON numeric scan not expanded; see field summary,PASS(26); FAIL(2); weak_or_spiky(23),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_BC_raw_rows.json,json,8,[]; [].case_id; [].changed_factor; [].status; [].fail_time_s; [].max_displacement_m; [].min_mesh_quality; [].interface_metric; [].pseudo_spike_metric; [].error_log; [].comment; [].solve_status; [].model_path; [].java_path; [].H_final_minus_H0_diagnostic_m; [].interface_quality; [].case_pass,JSON numeric scan not expanded; see field summary,PASS(8); FAIL(8); FAIL_DIAGNOSTIC(8); NO(8); weak_or_spiky(8),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_gate_summary.json,json,5,R3_STATUS; ALLOW_NEXT_DISPLACEMENT_LADDER; ALLOW_NEXT_TRUE_GEOMETRY_JET1; ALLOW_STAGE6; ALLOW_REAL_HMAX_OUTPUT,JSON numeric scan not expanded; see field summary,FAIL(1); NO(4),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\tables\R3_C_repair_ladder_summary.csv,csv,6,case_id; changed_factor; model_path; status; fail_time_s; max_displacement_m; min_mesh_quality; interface_metric; pseudo_spike_metric; error_log; comment,fail_time_s; max_displacement_m; min_mesh_quality,status=FAIL_DIAGNOSTIC(6); min_mesh_quality=1.0(6); fail_time_s=0.005(5); fail_time_s=0.001(1),none obvious from structural audit,,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\00_R2_import_review\tables\R2_key_metrics_recomputed.csv,csv,7,case_id; source; H0; Hfinal; H_final_minus_H0; pseudo_spike_ROI_flag; case_pass; ring_present; ALE_present,H0; Hfinal; H_final_minus_H0,case_pass=False(3); case_pass=True(1),none obvious from structural audit,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\00_R2_import_review\images\R2_key_metrics_summary.png,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\tables\R2_consistency_metrics.csv,csv,27,case_id; group; Vring; H_final_minus_H0; interface_roughness_initial; interface_roughness_final; max_slope; pseudo_spike_ROI_flag; ring_present; ALE_present; case_pass; changed_parameter,H_final_minus_H0; interface_roughness_final,case_pass=False(23); case_pass=True(1),none obvious from structural audit,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_controls_ring_vs_no_ring.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_D_drift_vs_velocity.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_stabilization_effects.png,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\tables\spike_spatial_metrics.csv,csv,4,case_id; region; roughness_peak_to_peak; pseudo_spike_regional_flag; contamination_flags,roughness_peak_to_peak,,none obvious from structural audit,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C1_spike_region_map.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C2_spike_region_map.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C3_spike_region_map.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\D0_spike_region_map.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\max_slope_r_curve.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\regional_roughness_comparison.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\roughness_r_curve.png,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\tables\ring_geometry_position_cases.csv,csv,6,case_id; geometry_change; solve_status; H_final_minus_H0; regional_roughness; pseudo_spike_regional_flag; interface_quality; case_pass; note; build; ring; ri; ro; h_ring; z_ring0; ring_all; ale; wettedwall; theta; beta; eps_ls; gamma; failure_message; H0; Hfinal; reldetjacmin_min; reldetjac_min; qual_min; dvol_min; mesh_quality_proxy; max_mesh_vertical_displacement; inverted_element_flag; timestamp_model; model; canonical_note; timestamp_java; java; canonical_note_java; ring_top_minus_z0; ring_bottom_minus_z0,,"case_pass=False(5); solve_status=PASS(4); solve_status=SKIP(2); interface_quality=extraction_failed(2); failure_message=Traceback (most recent call last):
  File ""C:\Users\kqdx\Documents\COMSOL仿真方法\ring_fountain_06_R3_ring_contactline_isolation.py"", line 430, in evaluate_model
    _, s0 = regional_metrics_from_arrays(case_id, 1, t0, r0, z0, p0, ri, ro, z_ring0, h_ring)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\kqdx\Documents\COMSOL仿真方法\ring_fountain_06_R3_ring_contactline_isolation.py"", line 350, in regional_metrics_from_arrays
    by.setdefault(region_of(p[0], p[1], ri, ro, z_ring0, h_ring), []).append(p)
MemoryError(2); failure_message=Skipped after current/deeper/far-below ring controls showed same failure type; switching to WettedWall/contactline root cause.(2); mesh_quality_proxy=1.0(2); interface_quality=clear(1); interface_quality=weak_or_spiky(1); case_pass=True(1)",none obvious from structural audit,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\images\geometry_control_interface_montage.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\images\geometry_control_regional_roughness.png,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\tables\wettedwall_contactline_cases.csv,csv,7,case_id; changed_setting; theta_w; slip_length_setting; wettedwall_enabled; build; ring; ri; ro; h_ring; z_ring0; ring_all; ale; wettedwall; theta; beta; eps_ls; gamma; solve_status; failure_message; H0; Hfinal; H_final_minus_H0; pseudo_spike_regional_flag; interface_quality; reldetjacmin_min; reldetjac_min; qual_min; dvol_min; mesh_quality_proxy; max_mesh_vertical_displacement; inverted_element_flag; case_pass; timestamp_model; model; timestamp_java; java; side_effects,ri; ro; h_ring; z_ring0; reldetjacmin_min; reldetjac_min; qual_min; dvol_min; mesh_quality_proxy; max_mesh_vertical_displacement,"solve_status=PASS(7); failure_message=Traceback (most recent call last):
  File ""C:\Users\kqdx\Documents\COMSOL仿真方法\ring_fountain_06_R3_ring_contactline_isolation.py"", line 430, in evaluate_model
    _, s0 = regional_metrics_from_arrays(case_id, 1, t0, r0, z0, p0, ri, ro, z_ring0, h_ring)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\kqdx\Documents\COMSOL仿真方法\ring_fountain_06_R3_ring_contactline_isolation.py"", line 350, in regional_metrics_from_arrays
    by.setdefault(region_of(p[0], p[1], ri, ro, z_ring0, h_ring), []).append(p)
MemoryError(7); interface_quality=extraction_failed(7); mesh_quality_proxy=1.0(7); case_pass=False(7)",none obvious from structural audit,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\images\wettedwall_contact_angle_summary.png; D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\images\wettedwall_slip_summary.png,structural audit only; original table not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\reports\06_R3_ring_contactline_isolation_summary.json,json,17,RUN_ID; script_archive; script_archive.D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\scripts\ring_fountain_06_R3_ring_contactline_isolation.py; script_archive.D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\scripts\ring_fountain_06_R3_ring_contactline_isolation.py_timestamp; script_archive.D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation.py; script_archive.D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation.py_timestamp; ALLOW_NEXT_TRUE_GEOMETRY_JET1; ALLOW_STAGE6_PARAMETER_SWEEP; ALLOW_REAL_HMAX_OUTPUT; ALLOW_NEXT_DISPLACEMENT_LADDER; analysis_dependencies; Phase0; Phase0.status; Phase0.ALLOW_PHASE1; Phase0.inconsistencies; Phase0.inconsistencies[]; Phase0.r2_rows; Phase1; Phase1.status; Phase1.ALLOW_PHASE2; Phase1.next_target; Phase2; Phase2.status; Phase2.ALLOW_PHASE3; Phase2.principal_spike_region; Phase2.rows; Phase2.rows[]; Phase2.rows[].case_id; Phase2.rows[].status; Phase2.rows[].roughness_peak_to_peak; Phase2.rows[].pseudo_spike_regional_flag; Phase2.rows[].principal_spike_region; Phase2.rows[].note; principal_spike_region; Phase3; Phase3.status; Phase3.ALLOW_PHASE8; Phase3.ALLOW_PHASE4; Phase3.STOP_AFTER_PHASE3; Phase3.conclusion; Phase3.best_case; Phase3.rows; Phase3.rows[]; Phase3.rows[].case_id; Phase3.rows[].geometry_change; Phase3.rows[].solve_status; Phase3.rows[].H_final_minus_H0; Phase3.rows[].regional_roughness; Phase3.rows[].pseudo_spike_regional_flag; Phase3.rows[].interface_quality; Phase3.rows[].case_pass; Phase3.rows[].note; Phase3.rows[].build; Phase3.rows[].ring; Phase3.rows[].ri; Phase3.rows[].ro; Phase3.rows[].h_ring; Phase3.rows[].z_ring0; Phase3.rows[].ring_all; Phase3.rows[].ale,JSON numeric scan not expanded; see field summary,PASS(7); FAIL(3); FAIL_DIAGNOSTIC(1); NO(10); YES(4); weak_or_spiky(1),none obvious from structural audit,,structural audit only; original table not modified
